2026-04-13 08:34:44 [INFO] Traceability:76 - ======================================================================
2026-04-13 08:34:44 [INFO] Traceability:77 - 🔄 LOGGING CONFIGURADO - INICIO DE APLICACIÓN
2026-04-13 08:34:44 [INFO] Traceability:78 - 📁 Archivo diario: logs/server_20260413.log
2026-04-13 08:34:44 [INFO] Traceability:79 - 📁 Archivo general: logs/server.log
2026-04-13 08:34:44 [INFO] Traceability:80 - 📅 Fecha: 2026-04-13 08:34:44
2026-04-13 08:34:44 [INFO] Traceability:81 - ======================================================================
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IHDR' 16 13
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IDAT' 41 8192
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IHDR' 16 13
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IDAT' 41 8192
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IHDR' 16 13
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IDAT' 41 8192
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IHDR' 16 13
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IDAT' 41 8192
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IHDR' 16 13
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IDAT' 41 8192
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IHDR' 16 13
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IDAT' 41 8192
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IHDR' 16 13
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'pHYs' 41 9
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'tEXt' 62 25
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IDAT' 99 8192
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IHDR' 16 13
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'pHYs' 41 9
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'tEXt' 62 25
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IDAT' 99 8192
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IHDR' 16 13
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IDAT' 41 8192
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IHDR' 16 13
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IDAT' 41 8192
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IHDR' 16 13
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'sRGB' 41 1
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'gAMA' 54 4
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'pHYs' 70 9
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IDAT' 91 65445
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IHDR' 16 13
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'sRGB' 41 1
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'gAMA' 54 4
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'pHYs' 70 9
2026-04-13 08:34:45 [DEBUG] PngImagePlugin:198 - STREAM b'IDAT' 91 65445
2026-04-13 08:34:52 [INFO] Traceability:139 - Cerrando aplicación...
2026-04-13 08:34:52 [INFO] Traceability:156 - Socket principal cerrado.
2026-04-13 08:34:52 [ERROR] Traceability:1312 - Error aceptando conexión: [WinError 10038] Se intentó realizar una operación en un elemento que no es un socket
