2026-04-24 17:28:34 [INFO] Traceability:78 - ======================================================================
2026-04-24 17:28:34 [INFO] Traceability:79 - 🔄 LOGGING CONFIGURADO - INICIO DE APLICACIÓN
2026-04-24 17:28:34 [INFO] Traceability:80 - 📁 Archivo diario: logs/server_20260424.log
2026-04-24 17:28:34 [INFO] Traceability:81 - 📁 Archivo general: logs/server.log
2026-04-24 17:28:34 [INFO] Traceability:82 - 📅 Fecha: 2026-04-24 17:28:34
2026-04-24 17:28:34 [INFO] Traceability:83 - ======================================================================
2026-04-24 17:28:34 [DEBUG] Image:421 - Importing PngImagePlugin
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IHDR' 16 13
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IDAT' 41 8192
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IHDR' 16 13
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IDAT' 41 8192
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IHDR' 16 13
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IDAT' 41 8192
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IHDR' 16 13
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IDAT' 41 8192
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IHDR' 16 13
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IDAT' 41 8192
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IHDR' 16 13
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IDAT' 41 8192
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IHDR' 16 13
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'pHYs' 41 9
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'tEXt' 62 25
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IDAT' 99 8192
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IHDR' 16 13
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'pHYs' 41 9
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'tEXt' 62 25
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IDAT' 99 8192
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IHDR' 16 13
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IDAT' 41 8192
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IHDR' 16 13
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IDAT' 41 8192
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IHDR' 16 13
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'sRGB' 41 1
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'gAMA' 54 4
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'pHYs' 70 9
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IDAT' 91 65445
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IHDR' 16 13
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'sRGB' 41 1
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'gAMA' 54 4
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'pHYs' 70 9
2026-04-24 17:28:34 [DEBUG] PngImagePlugin:204 - STREAM b'IDAT' 91 65445
